event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,notes,fatalities,PERIODO
2018-05-20,2018,Explosions/Remote violence,Grenade,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Leningrad,"On 20 May 2018, a man suffered from an injury caused by the explosion of a grenade in the village of Peniki. The origin of the explosive was unclear.",0,2018-Q2
2018-05-20,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Novgorod,"On 20 May 2018, members of the Yabloko party organised a picket near the bus station in Veliky Novgorod to protest against the rise of public transportation fares.",0,2018-Q2
2018-05-21,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Irkutsk,"On 21 May 2018, drivers gathered in the city of Bratsk to protest against the increase in fuel prices.",0,2018-Q2
2018-05-21,2018,Protests,Peaceful protest,Protesters (International),,Russia,Sakhalin,"On 21 May 2018, about 65-70 foreign workers demonstrated and went on strike in Severo-Kurilsk to protest against the construction company LLC SPIRO that have not paid their salaries for two months. They protest against their working conditions.",0,2018-Q2
2018-05-22,2018,Violence against civilians,Attack,Police Forces of Russia (2000-) Prison Guards,Civilians (Russia),Russia,Kirov,"On 22 May 2018, the founder of the Tatar patriotic front Danis Safargali currently detained, reported on mistreatment in the Kirovo-Chepetsk penal colony PKU IK-5. According to Danis, the prison guards are abusing of their power and have been using force and punitive measures when Danis commented on the prison guards' unlawful behaviour.",0,2018-Q2
2018-05-24,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Belgorod,"On 24 May 2018, local residents gathered in Belgorod in a spontaneous rally and blocked traffic on the highway to protest against the suppression of buses in the city.",0,2018-Q2
2018-05-26,2018,Protests,Peaceful protest,Protesters (Russia),,Russia,Irkutsk,"On 26 May 2018, about 20 drivers conducted a spontaneous boycott of the Rosneft gas station in Irkutsk. They all stopped their cars, pretending that they had broken down.",0,2018-Q2
2018-05-27,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"On 27 May 2018, the police forces of Russia detained one person participating in a protest in Putilkovo opposing the construction of a high building next to the cultural center. The protester was released later on.",0,2018-Q2
2018-05-29,2018,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Russia),Civilians (Russia),Russia,Zabaykalskiy,"In the night of 29 May 2018, employees of the Priargunsky Mining and Chemical Works discovered that electric detonators and non-electric systems for initiating explosives went missing. It is not clear who stole the material.",0,2018-Q2
2018-05-31,2018,Protests,Protest with intervention,Protesters (Russia),Police Forces of Russia (2000-),Russia,Moscow Oblast,"On 31 May 2018, the police forces of Russia dispersed a protest in Sychevo as protesters were blocking the road accessing the landfill. 30 protesters are thought to have been detained. This protest takes place in the context of a series of protests against the redirection of waste to the district. This follows up protests earlier this year against the Yadrovo landfill and its toxic fumes, which the authorities are now trying to replace.",0,2018-Q2
